name,years_active,session_count,companies,roles,sample_sessions,avatar_url,email,linkedin,twitter,notes
avatar for Amanda LaGrange,2018,1,"Tech Dump/Tech DiscountsAmanda LaGrange is the CEO of Tech Dump and Tech Discounts, the linked e-waste recycling, refurbishing, and retail social enterprise that creates jobs for people with barriers to employment. Amanda helped to found Tech Dump as a board member in 2010 while she worked at General Mills...Read More →",,Leading With Purpose: Exploring Business Structures for Mission-Driven Companies,//avatars.sched.co/d/97/5950696/avatar.jpg?7a6,,,,
avatar for Amber Christian,2018,2,"Wonderly Software SolutionsAmber Christian is the founder and owner of wonderly software solutions, a company using human centered design to create the next generation of software. Their first product, Bella Scena, re-imagines the meetings and work planning process to help you make sure your most important...Read More →",,How WE Built This- A Team Approach for Wonderly Software Solutions; Just Build It,//avatars.sched.co/5/cc/5804371/avatar.jpg?881,,,,
avatar for Amir Berenjian,"2018, 2023",2,"REM5 StudiosAmir is the Co-Founder and CEO of REM5 Studios, an immersive technology company focused on empowering its partners with emerging technologies like augmented reality, virtual reality, WEB3, AI and the metaverse. Having worked with a broad range of partners from schools to Fortune 500...Read More → | REM5 VR LabAmir is the Co-Founder of REM5 Virtual Reality Laboratory, a location-based VR experience business based in St. Louis Park, MN. By thoughtfully combining the world's best VR technology and content in a very approachable and social environment, REM5 allows everyone the opportunity...Read More →",,The Future of Immersive Experiences - Panel Discussion; The Intersection of AI + VR/AR,//avatars.sched.co/e/76/6005122/avatar.jpg?290,,,,
avatar for Amy Murphy,2018,1,"Augeo Digital, Augeo MarketingAmy has been part of the Augeo team since 2001. With over 20 years in both B2B and B2C product and service marketing, she brings broad experience and creativity to Augeo’s clients, communications, products and programs. Focusing on innovative and market-specific engagement platforms...Read More →",,"Engagement Marketing: What can we Learn from Pavlov, Maslow and Zuckerberg?",//avatars.sched.co/7/97/5916048/avatar.jpg?9dc,,,,
avatar for Andrea Vaubel,2018,1,Minnesota Dept. of Agriculture,,"Hemp, MN, and the Creation of a New Industry - Food Ag Ideas Week *External Regi",//avatars.sched.co/c/83/5974819/avatar.jpg?539,,,,
avatar for Andrew Baechler,2018,2,"EnivaAndrew Baechler is co-owner of Eniva Corporation and serves as its Chairman and Chief Executive Officer. Baechler is personally responsible for determining and overseeing strategic initiatives. He directs Eniva's ""values-based"" charitable activities - where significant impact has...Read More →",,You Are What You Eat: The Nexus of Food & Health - Morning Session *External Tic; You Are What You Eat: The Nexus of Food & Health - Afternoon Session *External T,//avatars.sched.co/6/7c/5977579/avatar.jpg?afb,,,,
avatar for Andrew DeLeeuw,2023,1,DOCSI,,Crafting Success: The Startup's Journey from Concept to Customer,//avatars.sched.co/1/ef/19268228/avatar.jpg?bc1,,,,
avatar for Andrew Felbinger,"2018, 2023",2,"Urban Innovation FundAndrew is an Associate at the Urban Innovation Fund, a venture capital firm that invests in the future of cities. The fund provides seed capital and regulatory support to entrepreneurs solving our toughest urban challenges – helping them grow into tomorrow’s most valued companies...Read More →",,"Venture capital 101: Confessions of a VC; VC Market Trends: What it Takes to Raise a Seed, Series A, and Beyond in 2023",//avatars.sched.co/8/d1/6098779/avatar.jpg?566,,,,
avatar for Andrew M. Tataryn,2018,2,"Messerli KramerAndy Tataryn has extensive experience in a wide range of corporate and securities law matters, including angel and venture capital financings; public offerings; mergers and acquisitions; corporate governance; public company reporting and disclosure; securities law compliance, equity-based...Read More →",,Preparing Your Startup For Investment; Steps to Starting a Business,//avatars.sched.co/8/80/5914880/avatar.jpg?7c3,,,,
avatar for Andrew Reiter,2018,1,"Core TechnologiesAndrew Reiter is the Co-Founder of Core Technologies. Andrew is an entrepreneur, product manager, and dreamer. He uses his passion for product development to ideate, develop, and run product-focused businesses.",,Smart Strategies to Start a Product-Focused Business,//avatars.sched.co/a/f2/5916030/avatar.jpg?6bc,,,,
avatar for Aneela Idnani,"2018, 2023",5,"HabitAwareAneela Idnani is Cofounder & President of www.HabitAware.com . Aneela co-invented Keen2, a smart bracelet and app system to empower people with compulsive hair pulling, skin picking and nail biting to take control and shift to healthier self-soothing behaviors. Having grown up struggling...Read More → | Nice HealthcareFor more than a decade, Thompson Aderinkomi, MS, MBA has been a leader in delivering solutions that solve the two biggest problems in healthcare - access and affordability. Thompson is the CEO AND Cofounder of Nice Healthcare, a technology-enabled integrated care clinic that delivers...Read More →",,Social Entrepreneur Live!; MH + HR: Guiding mental health conversations at work; Healthcare Innovation panel: Founders Journey,//avatars.sched.co/5/df/1756755/avatar.jpg?01d,,,,
avatar for Aneesh Chopra,2018,1,"an open data intelligence service launched by Hunch Analytics, a “hatchery” he co-founded to incubate ideas that improve the productivity of health and education markets.From 2009 to 2012, Chopra served as the first U.S. Chief Technology Officer and prior to that as Virginia’s fourth Secretary of Technology. His public service focused on better public-private collaboration as described in his book, Innovative State: How New Technologies Can Transform...Read More →",,MANOVA Global Summit on the Future of Health in Medical Alley - Wednesday Pass *,//avatars.sched.co/5/9b/5955178/avatar.jpg?7c0,,,,
avatar for Angie Bastian,2018,1,Angie's Boomchickapop,,Continued Rise of Small Food Brands - Food Ag Ideas Week *External Registration ,//avatars.sched.co/4/b0/5974984/avatar.jpg?8eb,,,,
avatar for Angie Eilers,2018,5,"CEO, UR TURN | Silverbow ConsultingDiane Rucker is an expert at making complex things seem simple. She is an independent consultant in the Twin Cities, working on global entrepreneurship and data-driven strategy. Diane’s fascination with innovation started when she failed her first interview at MIT Sloan. She convinced...Read More → | SwanniesCo-Founder of Swannies, a lifestyle apparel brand for casual golfers. www.swannies.co | Thomson ReutersMary Grams has run the gamut from product development and management to marketing and content strategy roles at Thomson Reuters. While working in a large organization, she has focused on building skills as an intrapreneur participating in several internal innovation challenges (and...Read More →",,Pre- TCSW Startup Weekend *External Registration Required*; Pre- TCSW Startup Weekend *External Registration Required*; Pre- TCSW Startup Weekend *External Registration Required*,//avatars.sched.co/1/fb/5967445/avatar.jpg?500,,,,
avatar for Anna Kincannon,2023,1,"InkitI thrive on challenge and constant motion. I excel at building something new and making a difference. I lead with inclusion, compassion, and knowledge.I bring 18+ years of experience and knowledge in banking and the financial industry.Is it true when you switch careers from the c...Read More →",,Swapping your golden parachute for the contract on a paper napkin,//avatars.sched.co/6/2d/19172426/avatar.jpg?3a1,,,,
avatar for Annika Björkholm,2023,1,"SwipeGuideSwedish-speaking Finn based in Minneapolis with the motto ""Curiosity is a renewable resource"".  Excited to chat about: B2B SaaS strategy, sustainability, Lean/Kaizen philosophies, food, and dogs.Awards: Marketing Leader of the Year 2021 (SaaS Awards) & 30 Under 30 in Learning 2022 (Learning Guild...Read More →",,Scaling Industrial B2B SaaS Internationally: a European Perspective,//avatars.sched.co/1/1c/19185914/avatar.jpg?f52,,,,
avatar for Anthony Corrado,2018,1,"SpectARAnthony Corrado is the Chief Technology Officer at SpectAR, where he leads a team focused on building augmented reality solutions for enterprise customers in the construction industry. These solutions are being developed and tested in job sites across Los Angeles, including the Oceanwide...Read More →",,The Future of Immersive Experiences - Panel Discussion,//avatars.sched.co/2/a5/6005089/avatar.jpg?bc2,,,,
avatar for Arts Industry Panel,2018,1,"a poet, a muralist, musicians, performance artists, and an arts researcher/consultant.From the Work of Art: Business Skills for Artists toolkits and workshops, to career consultations, Springboard...Read More →",,Entrepreneur Expo,//avatars.sched.co/2/6a/6016225/avatar.jpg?d8b,,,,
avatar for Arun Batchu,2018,1,"Innovation RadiationI am an experienced software architect. I am currently a vice president of engineering in the Advanced Technology Collaborative at Optum Technology, where I direct the incubation of emerging technologies to solve wicked problems in health care. I was previously the global e-commerce...Read More →",,Optimizing Product / Service Configuration with Systematic Innovation,//avatars.sched.co/3/a2/5914806/avatar.jpg?e68,,,,
avatar for Ascent Regtech,2018,1,,,Pitchfest in the Midwest *External Registration Required*,//avatars.sched.co/1/79/6324124/avatar.jpg?2ba,,,,
avatar for Atif Siddiqi,2018,2,"Branch MessengerAtif Siddiqi is the founder and CEO of Branch Messenger, a labor operations platform for hourly employees.",,Why AI is a Competitive Advantage in a Startup's Tech Stack; Venture-Scale Apps: A Panel of MN's Funded Mobile-Centric Startups,//avatars.sched.co/8/ed/5912803/avatar.jpg?e66,,,,
avatar for Augeo Marketing (Host),2018,1,,,"Engagement Marketing: What can we Learn from Pavlov, Maslow and Zuckerberg?",//avatars.sched.co/2/b4/6168637/avatar.jpg?036,,,,
avatar for Austin Bohlig,2018,1,"Let's GoPrior to founding Let's Go, Austin worked as an analyst in Piper Jaffray’s equity research department, as well as at Loup Ventures, an early stage venture capital firm. In both roles, he followed next generation tech industries such as robotics, drones, artificial intelligence and...Read More →",,Low-Cost Validation: What We've Learned From Helping 100+ Startups,//avatars.sched.co/b/37/5914716/avatar.jpg?86b,,,,
"avatar for Avisen Legal, P.A. (Host)",2018,3,P.A. (Host),,Tech Start-Ups: Getting the Legal Part Right; Minnesota Start-Up Darwin Lessons Part 2; From Crowdfunding to ICOs: Tips for Creatively (and Legally) Financing Your Busi,//avatars.sched.co/b/65/6077965/avatar.jpg?f59,,,,
avatar for BRAKFAST,2018,1,,,Beta Breakfast II: Revolutionary Food Innovations of 2018,//avatars.sched.co/c/24/6078430/avatar.jpg?641,,,,
avatar for Barb Grahn,2018,1,Fox Rothschild LLPBarb assists companies in securing and enforcing trademark rights both in the U.S. and internationally.,,Protecting Your IP and Preparing for Financing,//avatars.sched.co/1/92/5915971/avatar.jpg?9b6,,,,
avatar for Barbara Wrigley,2018,1,Fox Rothschild LLPBarbara is an IP attorney with more than 25 years of experience counseling clients in intellectual capital management and strategy.,,Protecting Your IP and Preparing for Financing,//avatars.sched.co/8/55/5915972/avatar.jpg?c55,,,,
avatar for Becky Lauseng,2023,1,"Onsights.ioCome talk to me about building the HR/People foundation at startup/emerging growth companies!I specialize in scaling, building engaged cultures and communities, change management, leadership development/coaching, leadership team alignment and full employee lifecycle HR.",,Founders' Guide to HR & People Ops: What You Need and When,//avatars.sched.co/5/75/19184765/avatar.jpg?bc6,,,,
avatar for Bedore Business Group (Host),2018,3,,,Coffee & Closers :: Women in Sales; Coffee & Closers :: CEOs that Sell; Coffee & Closers :: Sales Challenges Solved LIVE,//avatars.sched.co/0/72/6168724/avatar.jpg?69e,,,,
avatar for Ben Ihde,2018,2,Visus Group,,New Entrepreneurial Neighborhood - Motley and 2407; New Entrepreneurial Neighborhood - Motley and 2407,//avatars.sched.co/9/45/6077434/avatar.jpg?e1f,,,,
