timestamp,original,statuscode,mimetype,length,domain,filetype
20190921023936,https://twincitiesstartupweek.com/?utm_content=&utm_medium=email&utm_name=&utm_source=govdelivery&utm_term=,200,text/html,9965,twincitiesstartupweek.com,pdf
20220504130935,https://www.twincitiesstartupweek.com/_hcms/forms/v2.js,200,application/javascript,142445,twincitiesstartupweek.com,pdf
20150702101644,http://twincitiesstartupweek.com/apple-touch-icon-114x114.png,200,image/png,8807,twincitiesstartupweek.com,pdf
20180708072334,https://twincitiesstartupweek.com/apple-touch-icon-114x114.png,200,image/png,8933,twincitiesstartupweek.com,pdf
20150702101549,http://twincitiesstartupweek.com/apple-touch-icon-120x120.png,200,image/png,8899,twincitiesstartupweek.com,pdf
20180708041607,https://twincitiesstartupweek.com/apple-touch-icon-120x120.png,200,image/png,9025,twincitiesstartupweek.com,pdf
20150702101619,http://twincitiesstartupweek.com/apple-touch-icon-144x144.png,200,image/png,10001,twincitiesstartupweek.com,pdf
20180708051442,https://twincitiesstartupweek.com/apple-touch-icon-144x144.png,200,image/png,10129,twincitiesstartupweek.com,pdf
20150702101721,http://twincitiesstartupweek.com/apple-touch-icon-152x152.png,200,image/png,12683,twincitiesstartupweek.com,pdf
20180708082825,https://twincitiesstartupweek.com/apple-touch-icon-152x152.png,200,image/png,12811,twincitiesstartupweek.com,pdf
20150702101540,http://twincitiesstartupweek.com/apple-touch-icon-57x57.png,200,image/png,3654,twincitiesstartupweek.com,pdf
20180708042816,https://twincitiesstartupweek.com/apple-touch-icon-57x57.png,200,image/png,3777,twincitiesstartupweek.com,pdf
20150702101636,http://twincitiesstartupweek.com/apple-touch-icon-72x72.png,200,image/png,4554,twincitiesstartupweek.com,pdf
20180708054243,https://twincitiesstartupweek.com/apple-touch-icon-72x72.png,200,image/png,4678,twincitiesstartupweek.com,pdf
20150702101632,http://twincitiesstartupweek.com/apple-touch-icon-76x76.png,200,image/png,5157,twincitiesstartupweek.com,pdf
20180708055936,https://twincitiesstartupweek.com/apple-touch-icon-76x76.png,200,image/png,5283,twincitiesstartupweek.com,pdf
20150702101730,http://twincitiesstartupweek.com/apple-touch-icon.png,200,image/png,3648,twincitiesstartupweek.com,pdf
20180708083621,https://twincitiesstartupweek.com/apple-touch-icon.png,200,image/png,3774,twincitiesstartupweek.com,pdf
20211013144642,https://www.twincitiesstartupweek.com/arts-culture,200,text/html,10570,twincitiesstartupweek.com,pdf
20210516053858,https://www.twincitiesstartupweek.com/en-us/resource-library,200,text/html,40143,twincitiesstartupweek.com,pdf
20221107210227,https://www.twincitiesstartupweek.com/en-us/resource-library-2022,200,text/html,17439,twincitiesstartupweek.com,pdf
